y_prob_dupl	y_gt
0.99696762146764084	1
0.97431648528514825	1
0.12238542359752731	0
0.0057103282194087635	0
0.23704902627247576	0
0.97704386075680638	1
0.99990026540547183	1
0.0019509014097537302	0
0.99998972536287634	1
0.99174548842698851	1
0.99982663499053359	1
0.202812459009163	0
0.9999629189592909	1
0.99995547261483508	1
0.27918474325542297	0
0.024277025655832507	0
0.99999785031891264	1
0.9944201066947298	1
0.99971990876841632	1
0.99711785118404161	1
0.99999345334849499	1
0.0085087723556307674	0
0.0047693964629803871	0
0.99783136821193452	1
0.0091393970156341264	0
0.078633243893217131	0
0.09674078375468137	0
0.06276706366453437	0
0.99995682587514567	1
0.069841411833766104	0
0.999962387660008	1
0.075919037423590061	0
0.00023569886363140294	0
0.99999475775350011	1
0.19679580999723853	1
0.14791712664882953	0
0.94004304245783232	1
0.04778279160120652	0
0.02872939327455613	1
0.22398966687782998	0
0.58046112464331445	1
0.99999251861259542	1
0.99964611058281139	1
0.000220547897174443	0
0.10132494577588752	0
0.99999365293209874	1
0.046294478319070222	0
0.94628274106138643	1
0.99987166390190796	1
0.98219784508253016	1
0.66359174595656001	0
0.99977193347504245	1
0.98924947156876442	1
0.99895825993540721	1
0.016615030008967076	0
5.795652434542221e-05	0
0.99951380639398102	1
0.00050492718395739572	0
0.24960801373180147	0
0.99434489208022769	1
0.0002966319750475375	0
0.99901611507752786	1
0.98869384442720987	1
0.51783640088877037	0
0.10978978228994279	1
0.99999908328312481	1
0.00045745254468120765	0
0.0016801895703196655	0
0.99976642675021909	1
0.76025642722590769	0
0.15753320982008459	1
0.0020337217891899188	0
0.072352894676901022	0
0.99999773425096583	1
0.98743551411108099	1
0.00017819613086084878	0
0.0066538980206962755	0
0.99998424788052664	1
0.058990241174003359	1
0.89351506101517719	1
0.99941142873790012	1
0.99996676015287433	1
0.023047011891502836	0
0.85391493366719606	1
0.05201963520841163	0
0.00067690433641252651	0
0.0019522469347625874	0
0.99989896742638618	1
0.99997779694297917	1
0.99990754679698179	1
0.99998388311835662	1
0.40026796856054092	0
0.076095002077187418	0
0.008680232141093442	0
0.99999999939672723	1
0.96195189375794843	1
0.058015807904197879	0
0.00081174121808850596	0
0.98384999145549479	1
0.29306124501873182	0
0.020906821027028646	0
0.0089828508900119917	0
0.67992983440097166	1
0.99996413561147224	1
0.96837728067194317	1
0.022697216832273638	0
0.15898130062234678	0
0.285426377879129	1
0.99766633794756898	1
